Grade,Subject,Domain,Topic,code,altered_code,desc,NYcode,NYdesc,CAcode,CAdesc,IDcode,IDdesc,OHcode,OHdesc,NJcode,NJdesc,MAcode,MAdesc,MEcode,MEdesc,NHcode,NHdesc,VTcode,VTdesc,CTcode,CTdesc,RIcode,RIdesc,DEcode,DEdesc,MDcode,MDdesc,WIcode,WIdesc,ILcode,ILdesc,WAcode,WAdesc,WYcode,WYdesc,LAcode,LAdesc,NVcode,NVdesc,HIcode,HIdesc,MTcode,MTdesc,ORcode,ORdesc,COcode,COdesc,KYcode,KYdesc,ARcode,ARdesc,KScode,KSdesc,MIcode,MIdesc,SDcode,SDdesc,NDcode,NDdesc,NMcode,NMdesc,UTcode,UTdesc,AKcode,AKdesc
12-Sep,Math,Trigonometric Functions,Extend The Domain Of Trigonometric Functions Using The Unit Circle,HSF.TF.A.4,HSF.TF.A.4,(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.,F.TF.4,,,,F-TF.A.4,,HSF-TF.A.,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,M.HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,HSF-TF.A.4,,F-TF.4,,,,HSF.TF.A.4,,,,HSF.TF.A.4,,HSF.TF.A.4,,HSF.TF.A.4,,F.TF.A.4,,HSF.TF.4,,HSF.TF.A.4,,F.TF.4,,HSF.TF.A.4,
12-Sep,Math,The Real Number System,Extend The Properties Of Exponents To Rational Exponents.,HSN.RN.A.1,HSN.RN.A.1,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 51/3 to be the cube root of 5 because we want (51/3)3 = 5(1/3)3 to hold, so (51/3)3 must equal 5.",N.RN.1,,,,N-RN.A.1,,HSN-RN.A.,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,M.HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,HSN-RN.A.1,,N-RN.1,,HS.NQ.A.1,,HSN.RN.A.1,,,,HSN.RN.A.1,,HSN.RN.A.1,,HSN.RN.A.1,,N.RN.A.1,,HSN.RN.1,,HSN.RN.A.1,,N.RN.1,,HSN.RN.A.1,
12-Sep,Math,The Real Number System,Extend The Properties Of Exponents To Rational Exponents.,HSN.RN.A.2,HSN.RN.A.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,N.RN.2,,,,N-RN.A.2,,HSN-RN.A.,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,M.HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,HSN-RN.A.2,,N-RN.2,,,,HSN.RN.A.2,,,,HSN.RN.A.2,,HSN.RN.A.2,,HSN.RN.A.2,,N.RN.A.2,,HSN.RN.2,,HSN.RN.A.2,,N.RN.2,,HSN.RN.A.2,
12-Sep,Math,Circles,Find Arc Lengths And Areas Of Sectors Of Circles,HSG.C.B.5,HSG.C.B.5,"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector.",G.C.5,,,,G-C.B.5,,HSG-C.B.,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,M.HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,HSG-C.B.5,,G-C.5,,,,HSG.C.B.5,,,,HSG.C.B.5,,HSG.C.B.5,,HSG.C.B.5,,G.C.B.5,,HSG.C.5,,HSG.C.B.5,,G.C.5,,HSG.C.B.5,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-1,HS-LS1-1,Construct an explanation based on evidence for how the structure of DNA determines the structure of proteins which carry out the essential functions of life through systems of specialized cells.,HS-LS1-1,,HS-LS1-1,MS.LS1.A; MS.LS3.A; MS.LS3.B,LS1-HS-1,,,,HS-LS1-1,,HS.LS.1.1,"Construct a model of transcription and translation to explain the roles of DNA and RNA that code for proteins that regulate and carry out essential functions of life. Clarification Statements: Proteins that regulate and carry out essential functions of life include enzymes (which speed up chemical reactions), structural proteins (which provide structure and enable movement), and hormones and receptors (which send and receive signals). The model should show the double-stranded structure of DNA, including genes as part of DNA’s transcribed strand, with complementary bases on the non-transcribed strand. State Assessment Boundaries: Specific names of proteins or specific steps of transcription and translation are not expected in state assessment. Cell structures included in transcription and translation will be limited to nucleus, nuclear membrane, and ribosomes for state assessment.",HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,,,,HS-LS1-1,,HS-LS1-1,,HS-LS1-1,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-2,HS-LS1-2,Develop and use a model to illustrate the hierarchical organization of interacting systems that provide specific functions within multicellular organisms.,HS-LS1-2,,HS-LS1-2,MS.LS1.A,LS1-HS-2,,6.LS.4,"The level of organization within organisms includes cells, tissues, organs, organ systems and whole organisms.",HS-LS1-2,,HS.LS.1.2,"Develop and use a model to illustrate the key functions of animal body systems, including (a) food digestion, nutrient uptake, and transport through the body; (b) exchange of oxygen and carbon dioxide; (c) removal of wastes; and (d) regulation of body processes. Clarification Statement: Emphasis is on the primary function of the following body systems (and structures): digestive (mouth, stomach, small intestine [villi], large intestine, pancreas), respiratory (lungs [alveoli], diaphragm), circulatory (heart, veins, arteries, capillaries), excretory (kidneys, liver, skin), and nervous (neurons, brain, spinal cord). State Assessment Boundary: Chemical reactions in cells, details of particular structures (such as the structure of the neuron), or the identification of specific proteins in cells are not expected in state assessment.",HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,,,,HS-LS1-2,,HS-LS1-2,,HS-LS1-2,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-3,HS-LS1-3,Plan and conduct an investigation to provide evidence that feedback mechanisms maintain homeostasis.,HS-LS1-3,,HS-LS1-3,MS.LS1.A,LS1-HS-3,,,,HS-LS1-3,,HS.LS.1.3,"Provide evidence that homeostasis maintains internal body conditions through both body-wide feedback mechanisms and small-scale cellular processes. Clarification Statements: Feedback mechanisms include the promotion of a stimulus through positive feedback (e.g., injured tissues releasing chemicals in blood that activate platelets to facilitate blood clotting), and the inhibition of stimulus through negative feedback (e.g., insulin reducing high blood glucose to normal levels). Cellular processes include (a) passive transport and active transport of materials across the cell membrane to maintain specific concentrations of water and other nutrients in the cell and (b) the role of lysosomes in recycling wastes, macromolecules, and cell parts into monomers. State Assessment Boundary: Interactions at the molecular level (for example, how insulin is produced) are not expected in state assessment.",HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,,,,HS-LS1-3,,HS-LS1-3,,HS-LS1-3,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-4,HS-LS1-4,Use a model to illustrate the role of cellular division (mitosis) and differentiation in producing and maintaining complex organisms.,HS-LS1-4,,HS-LS1-4,MS.LS1.A; MS.LS1.B; MS.LS3.A,LS1-HS-4,,6.LS.2,Cells repeatedly divide resulting in more cells and growth and repair in multicellular organisms.,HS-LS1-4,,HS.LS.1.4,"Construct an explanation using evidence for why the cell cycle is necessary for the growth, maintenance, and repair of multicellular organisms. Model the major events of the cell cycle, including (a) cell growth and DNA replication, (b) separation of chromosomes (mitosis), and (c) separation of cell contents. State Assessment Boundary: Specific gene control mechanisms or specific details of each event (e.g., phases of mitosis) are not expected in state assessment.",HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-4,HS-LS1-4,Use a model to illustrate the role of cellular division (mitosis) and differentiation in producing and maintaining complex organisms.,HS-LS1-4,,HS-LS1-4,MS.LS1.A; MS.LS1.B; MS.LS3.A,LS1-HS-4,,8.LS.2,Every organism alive today comes from a long line of ancestors who reproduced successfully every generation. Reproduction is the transfer of genetic information from one generation to the next. It can occur with mixing of genes from two individuals (sexual reproduction). It can occur with the transfer of genes from one individual to the next generation (asexual reproduction). The ability to reproduce defines living things.,HS-LS1-4,,HS.LS.1.4,"Construct an explanation using evidence for why the cell cycle is necessary for the growth, maintenance, and repair of multicellular organisms. Model the major events of the cell cycle, including (a) cell growth and DNA replication, (b) separation of chromosomes (mitosis), and (c) separation of cell contents. State Assessment Boundary: Specific gene control mechanisms or specific details of each event (e.g., phases of mitosis) are not expected in state assessment.",HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,,,,HS-LS1-4,,HS-LS1-4,,HS-LS1-4,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-5,HS-LS1-5,Use a model to illustrate how photosynthesis transforms light energy into stored chemical energy.,HS-LS1-5,,HS-LS1-5,MS.PS1.B; MS.PS3.D; MS.LS1.C; MS.LS2.B,LS1-HS-5,,7.LS.1,Note 1: Chemical reactions are presented as the rearrangement of atoms in molecules.,HS-LS1-5,,HS.LS.1.5,"Use a model to illustrate how photosynthesis uses light energy to transform water and carbon dioxide into oxygen and chemical energy stored in the bonds of sugars and other carbohydrates. Clarification Statements: Emphasis is on illustrating inputs and outputs of matter and the transfer and transformation of energy in photosynthesis by plants and other photosynthesizing organisms. Examples of models could include diagrams, chemical equations, and conceptual models. State Assessment Boundary: Specific biochemical steps of light reactions or the Calvin Cycle, or chemical structures of molecules are not expected in state assessment.",HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,,,,HS-LS1-5,,HS-LS1-5,,HS-LS1-5,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-6,HS-LS1-6,"Construct and revise an explanation based on evidence for how carbon, hydrogen, and oxygen from sugar molecules may combine with other elements to form amino acids and/or other large carbon-based molecules.",HS-LS1-6,,HS-LS1-6,MS.PS1.A; MS.PS1.B; MS.PS3.D; MS.LS1.C; MS.ESS2.E,LS1-HS-6,,,,HS-LS1-6,,HS.LS.1.6,"Construct an explanation based on evidence that organic molecules are primarily composed of six elements, where carbon, hydrogen, and oxygen atoms may combine with nitrogen, sulfur, and phosphorus to form monomers that can further combine to form large carbon-based macromolecules.
Clarification Statements: Monomers include amino acids, mono- and disaccharides, nucleotides, and fatty acids.• Organic macromolecules include proteins, carbohydrates (polysaccharides), nucleic acids, and lipids. State Assessment Boundary: Details of specific chemical reactions or identification of specific macromolecule structures are not expected in state assessment.",HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,,,,HS-LS1-6,,HS-LS1-6,,HS-LS1-6,
12-Sep,Science,Life Sciences,From molecules to Organisms: Structures and Processes,HS-LS1-7,HS-LS1-7,Use a model to illustrate that cellular respiration is a chemical process whereby the bonds of food molecules and oxygen molecules are broken and the bonds in new compounds are formed resulting in a net transfer of energy.,HS-LS1-7,,HS-LS1-7,MS.PS1.B; MS.PS3.D; MS.LS1.C; MS.LS2.B,LS1-HS-7,,7.LS.1,Note 1: Chemical reactions are presented as the rearrangement of atoms in molecules.,HS-LS1-7,,HS.LS.1.7,"Use a model to illustrate that aerobic cellular respiration is a chemical process whereby the bonds of food molecules and oxygen molecules are broken and new bonds form, resulting in new compounds and a net transfer of energy. Clarification Statements: Emphasis is on the conceptual understanding of the inputs and outputs of the process of aerobic cellular respiration. Examples of models could include diagrams, chemical equations, and conceptual models. The model should include the role of ATP for energy transfer in this process. Food molecules include sugars (carbohydrates), fats (lipids), and proteins. State Assessment Boundary: Identification of the steps or specific processes involved in cellular respiration is not expected in state assessment.",HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,,,,HS-LS1-7,,HS-LS1-7,,HS-LS1-7,
12-Sep,Science,Life Sciences,Heredity: Inheritance and Variation of Traits,HS-LS3-1,HS-LS3-1,Ask questions to clarify relationships about the role of DNA and chromosomes in coding the instructions for characteristic traits passed from parents to offspring.,HS-LS3-1,,HS-LS3-1,MS.LS3.A; MS.LS3.B,LS3-HS-1,,,,HS-LS3-1,,HS.LS.3.1,"Develop and use a model to show how DNA in the form of chromosomes is passed from parents to offspring through the processes of meiosis and fertilization in sexual reproduction. Clarification Statement: The model should demonstrate that an individual’s characteristics (phenotype) result, in part, from interactions among the various proteins expressed by one’s genes (genotype).
State Assessment Boundary: Identification of specific phases of meiosis or the biochemical mechanisms involved are not expected in state assessment.",HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,,,,HS-LS3-1,,HS-LS3-1,,HS-LS3-1,
12-Sep,Science,Life Sciences,Heredity: Inheritance and Variation of Traits,HS-LS3-2,HS-LS3-2,"Make and defend a claim based on evidence that inheritable genetic variations may result from: (1) new genetic combinations through meiosis, (2) viable errors occurring during replication, and/or (3) mutations caused by environmental factors.",HS-LS3-2,,HS-LS3-2,MS.LS3.A; MS.LS3.B,LS3-HS-2,,,,HS-LS3-2,,HS.LS.3.2,"Make and defend a claim based on evidence that genetic variations (alleles) may result from (a) new genetic combinations via the processes of crossing over and random segregation of chromosomes during meiosis, (b) mutations that occur during replication, and/or (c) mutations caused by environmental factors. Recognize that mutations that occur in gametes can be passed to offspring. Clarification Statement: Examples of evidence of genetic variation can include the work of McClintock in crossing over of maize chromosomes and the development of cancer due to DNA replication errors and UV ray exposure. State Assessment Boundary: Specific phases of meiosis or identification of specific types of mutations are not expected in state assessment.",HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,,,,HS-LS3-2,,HS-LS3-2,,HS-LS3-2,
12-Sep,Science,Life Sciences,Heredity: Inheritance and Variation of Traits,HS-LS3-3,HS-LS3-3,Apply concepts of statistics and probability to explain the variation and distribution of expressed traits in a population.,HS-LS3-3,,HS-LS3-3,MS.LS2.A; MS.LS3.B; MS.LS4.C,LS3-HS-3,,,,HS-LS3-3,,HS.LS.3.3,"Apply concepts of probability to represent possible genotype and phenotype combinations in offspring caused by different types of Mendelian inheritance patterns. Clarification Statements: Representations can include Punnett squares, diagrams, pedigree charts, and simulations. Inheritance patterns include dominant-recessive, codominance, incomplete dominance, and sex-linked.",HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,,,,HS-LS3-3,,HS-LS3-3,,HS-LS3-3,
12-Sep,Math,"Linear, Quadratic, And Exponential Models★",Interpret Expressions For Functions In Terms Of The Situation They Model,HSF.LE.B.5,HSF.LE.B.5,Interpret the parameters in a linear or exponential function in terms of a context.,F.LE.5,,,,F-LE.B.5,,HSF-LE.B.,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,M.HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,HSF-LE.B.5,,F-LE.5,,,,HSF.LE.B.5,,,,HSF.LE.B.5,,HSF.LE.B.5,,HSF.LE.B.5,,F.LE.B.5,,HSF.LE.5,,HSF.LE.B.5,,F.LE.5,,HSF.LE.B.5,
12-Sep,Math,Interpreting Functions,Interpret Functions That Arise In Applications In Terms Of The Context,HSF.IF.B.4,HSF.IF.B.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.*",F.IF.4,,,,F-IF.B.4,,HSF-IF.B.,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,M.HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,HSF-IF.B.4,,F-IF.4,,HS.AFN.C.6,,HSF.IF.B.4,,,,HSF.IF.B.4,,HSF.IF.B.4,,HSF.IF.B.4,,F.IF.B.4,,HSF.IF.4,,HSF.IF.B.4,,F.IF.4,,HSF.IF.B.4,
12-Sep,Math,Interpreting Functions,Interpret Functions That Arise In Applications In Terms Of The Context,HSF.IF.B.5,HSF.IF.B.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function.*",F.IF.5,,,,F-IF.B.5,,HSF-IF.B.,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,M.HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,HSF-IF.B.5,,F-IF.5,,HS.AFN.B.5,,HSF.IF.B.5,,,,HSF.IF.B.5,,HSF.IF.B.5,,HSF.IF.B.5,,F.IF.B.5,,HSF.IF.5,,HSF.IF.B.5,,F.IF.5,,HSF.IF.B.5,
12-Sep,Math,Interpreting Functions,Interpret Functions That Arise In Applications In Terms Of The Context,HSF.IF.B.6,HSF.IF.B.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.*,F.IF.6,,,,F-IF.B.6,,HSF-IF.B.,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,M.HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,HSF-IF.B.6,,F-IF.6,,HS.AFN.A.3,,HSF.IF.B.6,,,,HSF.IF.B.6,,HSF.IF.B.6,,HSF.IF.B.6,,F.IF.B.6,,HSF.IF.6,,HSF.IF.B.6,,F.IF.6,,HSF.IF.B.6,
12-Sep,Math,Interpreting Categorical And Quantitative Data,Interpret Linear Models,HSS.ID.C.7,HSS.ID.C.7,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.*,S.ID.7,,,,S-ID.C.7,,HSS-ID.C.,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,M.HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,HSS-ID.C.7,,S-ID.7,,HS.DR.D.11,,HSS.ID.C.7,,,,HSS.ID.C.7,,HSS.ID.C.7,,HSS.ID.C.7,,S.ID.C.7,,HSS.ID.7,,HSS.ID.C.7,,S.ID.7,,HSS.ID.C.7,
12-Sep,Math,Interpreting Categorical And Quantitative Data,Interpret Linear Models,HSS.ID.C.8,HSS.ID.C.8,Compute (using technology) and interpret the correlation coefficient of a linear fit.*,S.ID.8,,,,S-ID.C.8,,HSS-ID.C.,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,M.HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,HSS-ID.C.8,,S-ID.8,,HS.DR.D.12,,HSS.ID.C.8,,,,HSS.ID.C.8,,HSS.ID.C.8,,HSS.ID.C.8,,S.ID.C.8,,HSS.ID.8,,HSS.ID.C.8,,S.ID.8,,HSS.ID.C.8,
12-Sep,Math,Interpreting Categorical And Quantitative Data,Interpret Linear Models,HSS.ID.C.9,HSS.ID.C.9,Distinguish between correlation and causation.*,S.ID.9,,,,S-ID.C.9,,HSS-ID.C.,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,M.HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,S-ID.9,,HS.DR.A.3,,HSS.ID.C.9,,,,HSS.ID.C.9,,HSS.ID.C.9,,HSS.ID.C.9,,S.ID.C.9,,HSS.ID.9,,HSS.ID.C.9,,S.ID.9,,HSS.ID.C.9,
12-Sep,Math,Interpreting Categorical And Quantitative Data,Interpret Linear Models,HSS.ID.C.9,HSS.ID.C.9,Distinguish between correlation and causation.*,S.ID.9,,,,S-ID.C.9,,HSS-ID.C.,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,M.HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,HSS-ID.C.9,,S-ID.9,,HS.DR.D.13,,HSS.ID.C.9,,,,HSS.ID.C.9,,HSS.ID.C.9,,HSS.ID.C.9,,S.ID.C.9,,HSS.ID.9,,HSS.ID.C.9,,S.ID.9,,HSS.ID.C.9,
12-Sep,Math,Seeing Structure In Expressions,Interpret The Structure Of Expressions,HSA.SSE.A.1,HSA.SSE.A.1,Interpret expressions that represent a quantity in terms of its context.*,A.SSE.1,,,,A-SSE.A.1,,HSA-SSE.A.,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,M.HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,HSA-SSE.A.1,,A-SSE.1,,HS.AEE.A.1,,HSA.SSE.A.1,,,,HSA.SSE.A.1,,HSA.SSE.A.1,,HSA.SSE.A.1,,A.SSE.A.1,,HSA.SSE.1,,HSA.SSE.A.1,,A.SSE.1,,HSA.SSE.A.1,
